0.0561	2.8696	0	0	0.0561	2.8696	-0.0118	2.9997	-0.0785	0.9969
-0.116094	3.79207	-0.215384	1.15384	-0.1161	3.7921	-0.1797	3.7797	-0.3239	0.9461
-0.554341	4.46046	-0.667579	0.720782	-0.5568	4.4581	-0.5364	4.4935	-0.549	0.8358
-1.1106	5.28221	-0.70973	1.18624	-1.1109	5.2855	-1.0593	5.0961	-0.7396	0.673
-1.5749	5.49259	-0.508368	-0.250906	-1.5734	5.4819	-1.7157	5.5498	-0.8838	0.4679
-2.48164	5.66343	-1.48711	0.476364	-2.489	5.6689	-2.4643	5.8259	-0.9724	0.2334
-3.19662	5.98232	-0.556593	0.354436	-3.1896	5.9814	-3.258	5.9073	-0.9999	-0.0157
-4.07834	5.80729	-1.41243	-0.544804	-4.0848	5.8005	-4.0471	5.7886	-0.9646	-0.2639
-4.89977	5.48423	-0.807396	-0.323618	-4.8952	5.4859	-4.7818	5.4775	-0.8686	-0.4955
-5.51959	5.22422	-0.756215	-0.325814	-5.5192	5.2242	-5.4161	4.9934	-0.7181	-0.6959
-5.86081	4.79381	-0.238953	-0.658725	-5.8569	4.7913	-5.9101	4.3668	-0.5225	-0.8526
-6.20296	3.87766	-0.535083	-1.42195	-6.2052	3.8719	-6.2327	3.6371	-0.2941	-0.9558
-6.37795	2.85667	-0.038744	-1.19333	-6.3742	2.8584	-6.3637	2.85	-0.0471	-0.9989
-6.26779	2.22048	0.238078	-0.568749	-6.2657	2.2252	-6.2949	2.055	0.2028	-0.9792
-6.00389	1.26866	0.382105	-1.54311	-6.0028	1.2613	-6.0305	1.3022	0.4399	-0.898
-5.6917	0.712754	0.394866	-0.212291	-5.6916	0.7228	-5.5872	0.6388	0.6494	-0.7604
-5.02391	0.172583	1.08499	-0.938583	-5.0187	0.1671	-4.9928	0.1064	0.8181	-0.575
-4.15314	-0.0536669	1.09044	0.0902753	-4.1531	-0.0459	-4.2848	-0.2614	0.9354	-0.3535
-3.71162	-0.482187	0.245509	-0.891757	-3.718	-0.4896	-3.5075	-0.4416	0.994	-0.1098
-2.48958	-0.628299	2.25693	0.220797	-2.4744	-0.6199	-2.7098	-0.4228	0.99	0.1409
-2.03805	-0.277971	-0.398512	0.56143	-2.0581	-0.2754	-1.9419	-0.2062	0.9239	0.3827
-1.40608	0.102812	1.46614	0.427364	-1.392	0.1018	-1.2519	0.1946	0.7997	0.6004
-0.513845	0.538708	0.915683	0.611723	-0.518	0.5401	-0.6833	0.7543	0.6253	0.7804
-0.295192	1.68093	-0.0921454	1.89206	-0.3028	1.6906	-0.2717	1.4379	0.4115	0.9114
0.0217169	2.07685	0.673933	-0.3	0.0275	2.0603	-0.0431	2.2024	0.172	0.9851
0.040898	3.08147	-0.345803	2.14091	0.0332	3.0999	0.0039	2.9999	0.0471	0.9989
-0.0182204	3.61811	0.0807966	-0.165593	-0.015	3.6007	0.1473	3.7848	0.2941	0.9558
0.549945	4.69933	1.0683	2.21466	0.5574	4.7173	0.4813	4.5094	0.5225	0.8526
0.97496	4.98618	0.225738	-0.69742	0.9686	4.9642	0.9851	5.1282	0.7181	0.6959
1.69324	5.63582	1.28023	1.67083	1.7012	5.6537	1.6269	5.6023	0.8686	0.4954
2.36916	5.97093	0.59722	-0.293386	2.364	5.9561	2.3664	5.9018	0.9646	0.2638
2.52999	6.23659	-0.0243503	0.687926	2.5253	6.244	3.1572	6.008	0.9999	0.0157
4.06656	6.05779	3.02732	-0.742031	4.0896	6.047	3.9496	5.9142	0.9724	-0.2335
4.66874	5.49465	-0.541362	-0.682257	4.6418	5.4951	4.6938	5.6263	0.8838	-0.468
5.60315	5.30375	2.14053	0.013764	5.6234	5.309	5.343	5.1624	0.7396	-0.673
5.99377	4.55229	-0.451754	-1.48156	5.9742	4.541	5.8564	4.5516	0.549	-0.8358
5.92999	3.81182	0.131942	-0.609284	5.9344	3.8184	6.2018	3.8324	0.3239	-0.9461
6.1907	2.86944	0.436227	-1.50152	6.193	2.8627	6.3574	3.0498	0.0784	-0.9969
6.41061	1.88805	0.183093	-1.07041	6.4087	1.8913	6.3136	2.2531	-0.1719	-0.9851
6.13268	1.57121	-0.649228	-0.0123744	6.1264	1.5792	6.073	1.4923	-0.4115	-0.9114
5.39838	0.995773	-1.07072	-1.12149	5.3952	0.9874	5.6507	0.8153	-0.6253	-0.7804
5.10831	0.369391	0.0402921	-0.590388	5.1167	0.3734	5.0734	0.2645	-0.7997	-0.6004
4.56817	-0.177003	-1.08222	-0.735678	4.5597	-0.1781	4.3772	-0.1253	-0.9239	-0.3827
3.30991	-0.110202	-1.85195	0.549556	3.3041	-0.1005	3.606	-0.3298	-0.99	-0.1409
2.73094	-0.431731	-0.0818329	-0.943228	2.7443	-0.443	2.8081	-0.3361	-0.994	0.1097
2.04292	0.00821518	-1.30276	1.39944	2.0337	0.0259	2.0337	-0.1437	-0.9354	0.3535
1.37939	0.273152	-0.560097	-0.276595	1.385	0.2605	1.3315	0.2352	-0.8181	0.575
0.702094	0.913149	-1.00964	1.4125	0.6987	0.9259	0.7456	0.7768	-0.6494	0.7604
0.493234	1.52083	0.164806	0.388154	0.5021	1.5131	0.3128	1.4471	-0.4399	0.898
-0.00714009	2.05213	-1.07508	0.82113	-0.0165	2.0554	0.0603	2.204	-0.2028	0.9792
