0.0679	0.1301	0.0785	0.9969
0.0657881	0.0924093	0.0947048	0.720058
0.0547053	0.0778266	0.103278	0.591663
0.0538746	0.114898	0.0906796	0.573064
0.079291	0.105905	0.186462	0.605027
0.0727278	0.117243	0.27042	0.561148
0.0712177	0.112189	0.301255	0.538029
0.0675275	0.105151	0.323233	0.512985
0.0748301	0.0991623	0.305429	0.487029
0.0781699	0.119069	0.290006	0.476627
0.0759996	0.171654	0.289425	0.458191
0.0732686	0.178415	0.285702	0.458859
0.070505	0.171426	0.274503	0.444144
0.0683256	0.171008	0.264686	0.441822
0.0663655	0.165437	0.256146	0.45819
0.0693655	0.161247	0.256045	0.46432
0.0677161	0.157254	0.256696	0.459007
0.072758	0.160475	0.252126	0.458174
0.0849001	0.156473	0.299513	0.480684
0.0962932	0.159283	0.406791	0.468853
0.0962866	0.156231	0.490789	0.459213
0.0996502	0.153888	0.500113	0.450169
0.103667	0.157076	0.492854	0.441677
0.101598	0.161573	0.493308	0.476467
0.100386	0.160288	0.493656	0.532916
0.0987032	0.157987	0.490164	0.56854
0.101962	0.158318	0.48275	0.598198
0.100961	0.159555	0.485142	0.64134
0.0992233	0.158982	0.485393	0.681232
0.0983045	0.15643	0.483116	0.703322
0.0967073	0.154386	0.479818	0.699085
0.146128	0.157236	0.505782	0.698261
0.14533	0.15684	0.613207	0.693275
0.143242	0.156157	0.651691	0.683992
0.147871	0.155754	0.684574	0.684071
0.147589	0.153575	0.695301	0.683036
0.152284	0.151524	0.686567	0.676014
0.152681	0.152352	0.679955	0.672064
0.151509	0.161348	0.673584	0.663532
0.149901	0.159806	0.666172	0.670429
0.153215	0.160342	0.661665	0.664341
0.151476	0.159246	0.666465	0.656387
0.152511	0.157581	0.659112	0.650939
0.157237	0.159259	0.66441	0.651863
0.155905	0.158123	0.670911	0.663415
0.154207	0.157991	0.665785	0.674043
0.152718	0.156399	0.659739	0.678305
0.151249	0.156008	0.654897	0.677769
0.151901	0.154767	0.653912	0.67476
0.150676	0.154709	0.658988	0.668353
